import time: self [us] | cumulative | imported package
import time:       602 |      24571 |                       traitlets.config
import time:        25 |      24595 |                     traitlets.config.application
import time:      1012 |       1012 |                           pkgutil
import time:      1588 |       2599 |                         pydoc
import time:      1517 |       1517 |                               html.entities
import time:      1078 |       2595 |                             html
import time:       652 |        652 |                                   executing._exceptions
import time:       988 |       1639 |                                 executing._position_node_finder
import time:      1163 |       2802 |                               executing.executing
import time:       522 |        522 |                               executing.version
import time:      1090 |       4413 |                             executing
import time:       934 |        934 |                                 asttokens.line_numbers
import time:      1087 |       1087 |                                                 astroid.typing
import time:       881 |       1967 |                                               astroid.exceptions
import time:       572 |       2539 |                                             astroid.util
import time:       609 |        609 |                                             astroid.context
import time:       593 |       3740 |                                           astroid.decorators
import time:       605 |        605 |                                               astroid.const
import time:       544 |        544 |                                               astroid.interpreter
import time:       543 |        543 |                                                   astroid.interpreter._import
import time:       540 |        540 |                                                       astroid.interpreter._import.util
import time:       866 |       1405 |                                                     astroid.modutils
import time:      1305 |       2709 |                                                   astroid.interpreter._import.spec
import time:       650 |        650 |                                                   astroid.transforms
import time:       684 |       4585 |                                                 astroid.manager
import time:      1173 |       5757 |                                               astroid.interpreter.objectmodel
import time:       935 |       7840 |                                             astroid.bases
import time:       674 |       8514 |                                           astroid.protocols
import time:       537 |        537 |                                           astroid.interpreter.dunder_lookup
import time:       822 |        822 |                                               astroid.nodes.as_string
import time:       525 |        525 |                                               astroid.nodes.const
import time:       629 |        629 |                                               astroid.nodes.utils
import time:       795 |       2769 |                                             astroid.nodes.node_ng
import time:       816 |       3585 |                                           astroid.nodes._base_nodes
import time:      3360 |      19734 |                                         astroid.nodes.node_classes
import time:       526 |        526 |                                             astroid.filter_statements
import time:       498 |        498 |                                             astroid.nodes.scoped_nodes.utils
import time:       882 |       1904 |                                           astroid.nodes.scoped_nodes.mixin
import time:      1106 |       1106 |                                           astroid.nodes.scoped_nodes.scoped_nodes
import time:       633 |       3642 |                                         astroid.nodes.scoped_nodes
import time:       839 |      24215 |                                       astroid.nodes
import time:       745 |        745 |                                       astroid.raw_building
import time:       484 |        484 |                                       astroid.__pkginfo__
import time:       545 |        545 |                                         astroid.brain
import time:      1098 |       1643 |                                       astroid.brain.helpers
import time:      1030 |       1030 |                                           astroid._ast
import time:      1008 |       2037 |                                         astroid.rebuilder
import time:       633 |       2670 |                                       astroid.builder
import time:       532 |        532 |                                       astroid.inference_tip
import time:       777 |        777 |                                       astroid.objects
import time:       599 |        599 |                                           astroid.arguments
import time:       733 |       1331 |                                         astroid.brain.brain_argparse
import time:       516 |        516 |                                         astroid.brain.brain_attrs
import time:       504 |        504 |                                         astroid.brain.brain_boto3
